listing_url,name,ratings,bedroom,bed,bathroom
https://www.airbnb.com/rooms/1048396332901206671,Rental unit in Bunkyo City ,0,,8,
https://www.airbnb.com/rooms/1051920091443097235,Rental unit in Sumida City ,0,,8,
https://www.airbnb.com/rooms/954587634541661492,Rental unit in Toshima City ,3.2,,8,
https://www.airbnb.com/rooms/729618777102100192,Hostel in Minato City ,3.33,,8,
https://www.airbnb.com/rooms/930148495769635467,Rental unit in Toshima City ,3.6,,8,
https://www.airbnb.com/rooms/950391253294857805,Home in Edogawa City ,4.6,,8,
https://www.airbnb.com/rooms/51254126,Home in Taito City ,4.63,,8,
https://www.airbnb.com/rooms/7149882,Rental unit in Toshima-ku ,4.65,,8,
https://www.airbnb.com/rooms/21870970,Rental unit in Taitō-ku ,4.65,,8,
https://www.airbnb.com/rooms/15278411,Home in 豊島区 ,4.67,,8,
https://www.airbnb.com/rooms/869869175019105669,Rental unit in Taito City ,4.67,,8,
https://www.airbnb.com/rooms/872031944634634221,Rental unit in Kita City ,4.67,,8,
https://www.airbnb.com/rooms/1003198516501578837,Home in Katsushika City ,4.67,,8,
https://www.airbnb.com/rooms/27249421,Home in Shibuya-ku ,4.68,,8,
https://www.airbnb.com/rooms/37185693,Home in Sumida City ,4.68,,8,
https://www.airbnb.com/rooms/30695996,Home in Shibuya-ku ,4.69,,8,
https://www.airbnb.com/rooms/33406870,Home in Nakano-Ku ,4.69,,8,
https://www.airbnb.com/rooms/30071423,Home in Nakano-ku ,4.71,,8,
https://www.airbnb.com/rooms/766244007691218615,Home in Toshima City ,4.71,,8,
https://www.airbnb.com/rooms/813981045599145437,Rental unit in Suginami City ,4.72,,8,
https://www.airbnb.com/rooms/2602791,Rental unit in 新宿区 ,4.73,,8,
https://www.airbnb.com/rooms/924268142639569772,Rental unit in Taito City ,4.73,,8,
https://www.airbnb.com/rooms/22686512,Home in Shinjuku-ku ,4.74,,8,
https://www.airbnb.com/rooms/24190978,Home in Toshima-ku ,4.74,,8,
https://www.airbnb.com/rooms/39678000,Home in Nakano City ,4.75,,8,
https://www.airbnb.com/rooms/40846067,Home in Adachi City ,4.75,,8,
https://www.airbnb.com/rooms/789712292396572880,Rental unit in Shinjuku City ,4.75,,8,
https://www.airbnb.com/rooms/846006042254042240,Rental unit in Shinjuku City ,4.75,,8,
https://www.airbnb.com/rooms/2645379,Rental unit in 新宿区 ,4.76,,8,
https://www.airbnb.com/rooms/17657302,Rental unit in Taitō-ku ,4.76,,8,
"https://www.airbnb.com/rooms/27210817,""Rental unit in Ishiwara, Sumida-ku "",4.76,,8,"
https://www.airbnb.com/rooms/2491507,Rental unit in 新宿区 ,4.77,,8,
https://www.airbnb.com/rooms/17655498,Rental unit in Taitō-ku ,4.77,,8,
https://www.airbnb.com/rooms/21871050,Rental unit in Taitō-ku ,4.77,,8,
https://www.airbnb.com/rooms/35168400,Rental unit in Arakawa City ,4.77,,8,
https://www.airbnb.com/rooms/37608825,Rental unit in Nakano City ,4.77,,8,
https://www.airbnb.com/rooms/927038722221991222,Home in Katsushika City ,4.77,,8,
https://www.airbnb.com/rooms/9175436,Home in Sumida ,4.78,,8,
https://www.airbnb.com/rooms/45091084,Home in Ota City ,4.78,,8,
https://www.airbnb.com/rooms/49455384,Home in Adachi City ,4.79,,8,
https://www.airbnb.com/rooms/17658962,Rental unit in Taitō-ku ,4.8,,8,
https://www.airbnb.com/rooms/51267880,Rental unit in Taito City ,4.8,,8,
https://www.airbnb.com/rooms/52278830,Hostel in Taito ward ,4.8,,8,
https://www.airbnb.com/rooms/35128490,Villa in Kita City ,4.81,,8,
https://www.airbnb.com/rooms/42413416,Home in Sumida City ,4.81,,8,
https://www.airbnb.com/rooms/43930996,Home in Shinagawa City ,4.81,,8,
https://www.airbnb.com/rooms/846780776802219646,Home in Katsushika City ,4.81,,8,
https://www.airbnb.com/rooms/1571298,Rental unit in 新宿区 ,4.82,,8,
https://www.airbnb.com/rooms/1574946,Rental unit in 新宿区 ,4.82,,8,
https://www.airbnb.com/rooms/2602722,Rental unit in 新宿区 ,4.82,,8,
https://www.airbnb.com/rooms/16829535,Home in Shibuya-ku ,4.82,,8,
https://www.airbnb.com/rooms/37460746,Home in 荒川区 ,4.82,,8,
https://www.airbnb.com/rooms/41501416,Home in Katsushika City ,4.82,,8,
https://www.airbnb.com/rooms/49696559,Aparthotel in Shinagawa Ku ,4.82,,8,
https://www.airbnb.com/rooms/870857812131506152,Home in Katsushika City ,4.82,,8,
https://www.airbnb.com/rooms/912096778574310012,Rental unit in Katsushika City ,4.82,,8,
https://www.airbnb.com/rooms/8947448,Home in Sumida-ku ,4.83,,8,
https://www.airbnb.com/rooms/25924246,Hostel in 大田区 ,4.83,,8,
https://www.airbnb.com/rooms/599694481155696934,Home in Sumida City ,4.83,,8,
https://www.airbnb.com/rooms/944731303525764496,Home in Katsushika City ,4.83,,8,
https://www.airbnb.com/rooms/832244101656141191,Rental unit in Shinjuku City ,4.84,,8,
https://www.airbnb.com/rooms/30255866,Rental unit in Shinjuku-ku ,4.86,,8,
https://www.airbnb.com/rooms/687081224118848755,Home in Komae ,4.86,,8,
https://www.airbnb.com/rooms/811143072808009486,Rental unit in Toshima City ,4.86,,8,
https://www.airbnb.com/rooms/884012266655389021,Home in Shinjuku City ,4.86,,8,
https://www.airbnb.com/rooms/933693527246758336,Rental unit in Sumida City ,4.86,,8,
https://www.airbnb.com/rooms/976461994468985582,Rental unit in Shinjuku City ,4.86,,8,
https://www.airbnb.com/rooms/5128293,Rental unit in 新宿区 ,4.87,,8,
https://www.airbnb.com/rooms/10598625,Villa in Shinjuku-ku ,4.87,,8,
https://www.airbnb.com/rooms/16999213,Home in Ōta-ku ,4.87,,8,
https://www.airbnb.com/rooms/919791783467544914,Home in Shinjuku City ,4.87,,8,
https://www.airbnb.com/rooms/11719571,Rental unit in Arakawa ,4.88,,8,
https://www.airbnb.com/rooms/36895943,Home in Taitō-ku ,4.89,,8,
"https://www.airbnb.com/rooms/27736011,""Hostel in Shinagawa-ku, Tokyo "",4.9,,8,"
https://www.airbnb.com/rooms/749677785525075605,Home in Shinjuku City ,4.9,,8,
https://www.airbnb.com/rooms/832073185767697334,Home in Nakano City ,4.9,,8,
https://www.airbnb.com/rooms/43164765,Home in 板橋区 ,4.91,,8,
https://www.airbnb.com/rooms/45743644,Home in Sumida City ,4.92,,8,
https://www.airbnb.com/rooms/929503118807488788,Villa in Kita City ,4.92,,8,
https://www.airbnb.com/rooms/29224646,Rental unit in Shinjuku-ku ,4.93,,8,
https://www.airbnb.com/rooms/35063696,Home in 新宿区 ,4.93,,8,
https://www.airbnb.com/rooms/889016099223869397,Home in Shinjuku City ,4.93,,8,
https://www.airbnb.com/rooms/39089199,Home in Shinjuku City ,4.94,,8,
https://www.airbnb.com/rooms/17894285,Home in 板橋区 ,4.95,,8,
https://www.airbnb.com/rooms/559888044883833193,Vacation home in Nakano City ,4.96,,8,
"https://www.airbnb.com/rooms/23444119,""Hostel in Shinagawa-ku, Tokyo "",4.97,,8,"
https://www.airbnb.com/rooms/27064264,Rental unit in Taitō-ku ,4.98,,8,
https://www.airbnb.com/rooms/23832563,Hostel in Arakawa-ku ,5,,8,
"https://www.airbnb.com/rooms/27736081,""Hostel in Shinagawa-ku, Tokyo "",5,,8,"
"https://www.airbnb.com/rooms/27747201,""Hostel in Shinagawa-ku, Tokyo "",5,,8,"
https://www.airbnb.com/rooms/29226210,Rental unit in Shinjuku-ku ,5,,8,
https://www.airbnb.com/rooms/30255930,Rental unit in Shinjuku-ku ,5,,8,
https://www.airbnb.com/rooms/30255981,Rental unit in Shinjuku-ku ,5,,8,
https://www.airbnb.com/rooms/35716624,Hostel in Shinagawa City ,5,,8,
https://www.airbnb.com/rooms/43042030,Rental unit in Arakawa City ,5,,8,
https://www.airbnb.com/rooms/43539219,Hotel in 港区 ,5,,8,
https://www.airbnb.com/rooms/50381941,Aparthotel in Chuo City ,5,,8,
https://www.airbnb.com/rooms/809140034996465260,Rental unit in Shinjuku City ,5,,8,
https://www.airbnb.com/rooms/901125426292542286,Home in Shibuya City ,5,,8,
https://www.airbnb.com/rooms/915142718182543709,Home in Toshima City ,5,,8,
https://www.airbnb.com/rooms/943809889811399072,Home in Toshima City ,5,,8,
https://www.airbnb.com/rooms/949735912516254535,Home in Katsushika City ,5,,8,
https://www.airbnb.com/rooms/969389371228142013,Home in Suginami City ,5,,8,
https://www.airbnb.com/rooms/989371479641705339,Home in Shinjuku City ,5,,8,
https://www.airbnb.com/rooms/993702933022499530,Home in Adachi City ,5,,8,
https://www.airbnb.com/rooms/999544981073457616,Home in Edogawa City ,5,,8,
https://www.airbnb.com/rooms/1009237411712063969,Rental unit in Minato City ,5,,8,
https://www.airbnb.com/rooms/1011300211046469265,Home in Edogawa City ,5,,8,
https://www.airbnb.com/rooms/1023529883751527565,Home in Nakano City ,5,,8,
https://www.airbnb.com/rooms/30236574,Rental unit in Shinjuku-ku ,0,,8,
https://www.airbnb.com/rooms/36900728,Hotel in Shinjuku City ,0,,8,
https://www.airbnb.com/rooms/40671146,Hostel in Shinagawa City ,0,,8,
https://www.airbnb.com/rooms/41413989,Rental unit in Shinjuku City ,0,,8,
https://www.airbnb.com/rooms/938028136446352003,Villa in Shinjuku City ,,,8,
https://www.airbnb.com/rooms/964270281798189698,Hotel in Taito City ,0,,8,
https://www.airbnb.com/rooms/1004906028207579734,Rental unit in Minato City ,0,,8,
https://www.airbnb.com/rooms/11761568,Home in Hachioji ,0,,8,
https://www.airbnb.com/rooms/45644084,Rental unit in Toshima City ,0,7,,7.5
https://www.airbnb.com/rooms/48553945,Hostel in Toshima City ,4.64,,,7
https://www.airbnb.com/rooms/1004969519882864035,Home in Sumida City ,0,,7,
https://www.airbnb.com/rooms/1008945397773562844,Home in Sumida City ,0,,7,
https://www.airbnb.com/rooms/1021543733858937017,Home in Suginami City ,0,,7,
https://www.airbnb.com/rooms/1023029419064871997,Home in Shinjuku City ,0,,7,
https://www.airbnb.com/rooms/1029239861984649328,Home in Katsushika City ,0,,7,
https://www.airbnb.com/rooms/1026539965982278945,Home in Koto City ,0,,7,
https://www.airbnb.com/rooms/1033329339236485892,Villa in Taito City ,0,,7,
https://www.airbnb.com/rooms/1030783352245352800,Home in Shinjuku City ,0,,7,
https://www.airbnb.com/rooms/1031633302941913105,Home in Shibuya City ,0,,7,
https://www.airbnb.com/rooms/1039631226679837008,Home in Katsushika City ,0,,7,
https://www.airbnb.com/rooms/1049641216730517591,Rental unit in Shibuya City ,0,,7,
https://www.airbnb.com/rooms/1049704452659755304,Home in Bunkyo City ,0,,7,
https://www.airbnb.com/rooms/1047363301267139717,Home in Toshima City ,0,,7,
